"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPlayer's value for the rest of the season (predicted points per million pounds excess cost)","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","Penders","","CHE","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined RC Strasbourg on loan for the rest of the season."
"","Mazilu","","BHA","MID","4.5","1.29","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Dinamo Bucharest permanently."
"","Sadi","","BOU","MID","4.5","1.32","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Novi Pazar on loan for the rest of the season."
"","Luís Hemir","","SUN","FWD","4.4","1.02","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Moreirense on loan for the rest of the season."
"","Setford","","ARS","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.2","0","0",""
"","Lankshear","","TOT","FWD","4.5","1.04","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Oxford United on loan for the rest of the season."
"","Takai","","TOT","DEF","4","2.04","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Borussia Mönchengladbach on loan for the rest of the season."
"","Herrick","","WHU","GK","4","2.85","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Shahar","","NEW","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Fitzgerald","","MUN","MID","4.3","1.31","1","0","0","0","0","100","Available","0.0","0","0",""
"","Bentt","","BRE","MID","4.5","1.26","1","0.01","0","0","0","100","Available","0.0","0","0",""
"","Moorhouse","","MUN","MID","4.5","1.32","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Leyton Orient on loan for the rest of the season."
"","Meupiyou","","WOL","DEF","4","2.17","1","0","0","0","0","0","Unavailable","0.0","0","0","On loan to FC Alverca"
"","Cuiabano","","NFO","DEF","4.5","2.83","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Vasco de Gama on loan for the rest of the season."
"","Clarke","","ARS","DEF","3.7","2.04","1","0","0","0","0","100","Available","0.5","0","0",""
"","Proctor","","AVL","GK","3.9","2.84","1","0.02","0","0","0","100","Available","0.6","0","0",""
"","Kuol","","NEW","MID","4.4","1.32","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Sparta Prague permanently."
"","Mateo Joseph","","LEE","FWD","5","1.9","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined RCD Mallorca on loan for the rest of the season."
"","Chambers","","LEE","MID","4.4","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Nypan","","MCI","MID","5","2.34","1","0","0","0","0","100","Available","0.0","0","0",""
"","Mfuni","","MCI","DEF","3.9","2.02","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Watford on loan for the rest of the season."
"","Whitehall","","NFO","MID","4.5","1.31","1","0.14","0","0","0","100","Available","0.0","0","0",""
"","McKenna","","BOU","GK","3.9","3.02","1","0.02","0","0","0","100","Available","0.2","0","0",""
"","Da Silva Moreira","","NFO","MID","4.5","1.32","1","0","0","0","0","100","Available","0.1","0","0",""
"","Rowe","","AVL","DEF","4","2.11","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Annecy on loan for the rest of the season."
"","Ji-soo","","BRE","DEF","3.9","2.08","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Kaiserslautern on loan for the rest of the season."
"","Whittaker","","SUN","MID","4.5","1.27","1","0.03","0","0","0","100","Available","0.0","0","0",""
"","Jones","","SUN","MID","4.5","1.27","1","0.03","0","0","0","100","Available","0.0","0","0",""
"","Lamadrid","","WHU","MID","5","2.18","1","0.01","0","0","0","100","Available","0.0","0","0",""
"","Godo","","FUL","MID","4.5","1.31","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Strasbourg permanently."
"","Umeh","","CRY","MID","4.5","1.32","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Portsmouth permanently."
"","Wheatley","","MUN","FWD","4.5","1.03","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Bradford City on loan for the rest of the season."
"","Echeverri","","MCI","MID","5.4","2.78","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Girona on loan for the rest of the season."
"","Adewumi","","BUR","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Cercle Brugge on loan for the rest of the season."
"","Thwaites","","MUN","MID","4.5","1.29","1","0.05","0","0","0","100","Available","0.0","0","0",""
"","Kukonki","","MUN","DEF","4","2.08","1","0","0","0","0","100","Available","0.0","0","0",""
"","Redmond","","AVL","FWD","4.5","1.03","1","0","0","0","0","0","Unavailable","0.3","0","0","has joined Huddersfield Town on loan for the rest of the season."
"","Marsh","","CRY","FWD","4.4","1.03","1","0","0","0","0","100","Available","0.3","0","0",""
"","Broggio","","AVL","MID","4.4","1.31","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined Falkirk on loan for the rest of the season."
"","Amass","","MUN","DEF","4","2.15","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Norwich City on loan for the rest of the season."
"","Chadwick","","LEE","MID","4.5","1.31","1","0.2","0","0","0","100","Available","0.0","0","0",""
"","Pivas","","NEW","DEF","3.8","2.04","1","0","0","0","0","100","Available","0.4","0","0",""
"","Boateng","","BUR","MID","4.7","2.18","1","0","0","0","0","100","Available","0.0","0","0",""
"","Agbinone","","CRY","MID","4.3","1.31","1","0","0","0","0","100","Available","0.1","0","0",""
"","Heskey","","MCI","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Pécsi","","LIV","GK","3.8","2.84","1","0.02","0","0","0","100","Available","0.9","0","0",""
"","Yasin","","AVL","DEF","4","2.09","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Anderlecht on loan for the rest of the season."
"","McManus","","BRE","DEF","4","2.04","1","0.05","0","0","0","100","Available","0.0","0","0",""
"","Harrison","","MUN","GK","4","3.02","1","0","0","0","0","0","Unavailable","0.0","0","0","On loan to Shrewsbury Town"
"","Kacurri","","ARS","DEF","3.9","2.11","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Morecambe on loan for the rest of the season."
"","Kabia","","ARS","MID","4.5","1.32","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Shrewsbury Town on loan for the rest of the season."
"","Slater","","BHA","DEF","4","2.11","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Harrogate Town on loan until January."
"","Sutherland","","WOL","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Chiwome","","WOL","FWD","4.4","1.03","1","0.01","0","0","0","100","Available","0.0","0","0",""
"","Kporha","","CRY","DEF","4","2.08","1","0","0","0","0","100","Available","0.0","0","0",""
"","Akhamrich","","TOT","MID","4.5","1.26","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Bristol Rovers on loan for the rest of the season."
"","Sinclair","","NFO","MID","4.5","1.31","1","0.14","0","0","0","100","Available","0.0","0","0",""
"","Adu-Adjei","","BOU","FWD","4.4","1.03","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined HNK Rijeka permanently."
"","Trevitt","","BRE","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Wigan on loan for the rest of the season"
"","King","","CRY","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Amissah","","FUL","DEF","3.8","2.08","1","0","0","0","0","100","Available","0.1","0","0",""
"","Cresswell","","LEE","MID","4.5","1.32","1","0.27","0","0","0","100","Available","0.0","0","0",""
"","Gonzalez","","WOL","MID","4.3","1.31","1","0","0","0","0","100","Available","1.2","0","0",""
"","Morrison","","LIV","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Obi","","MUN","FWD","4.2","1.05","1","0","0","0","0","100","Available","1.4","0","0",""
"","Gray","","LEE","FWD","4.5","1.01","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Rotherham United on loan for the rest of the season."
"","Olagunju","","WOL","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Tutierov","","SUN","MID","4.5","1.29","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Exeter City on loan for the rest of the season."
"","Simmonds","","BHA","DEF","4","2.06","1","0","0","0","0","100","Available","0.0","0","0",""
"","Rawlings","","WOL","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Rees-Dottin","","BOU","MID","4.3","1.26","1","0","0","0","0","100","Available","0.2","0","0",""
"","Vuskovic","","TOT","DEF","3.9","2.11","1","0","0","0","0","0","Unavailable","0.3","0","0","has joined Hamburger SV on loan for the rest of the season."
"","Paez","","CHE","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined River Plate on loan for the rest of the season."
"","Yalcouye","","BHA","MID","5","2.36","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Swansea City on loan for the rest of the season."
"","Emenalo","","CHE","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Williams-Barnett","","TOT","MID","4.5","1.31","1","0","0","0","0","100","Available","0.0","0","0",""
"","Nallo","","LIV","DEF","3.7","2.08","1","0","0","0","0","100","Available","0.9","0","0",""
"","Abdullahi","","SUN","FWD","4.2","1.01","1","0","0","0","0","100","Available","0.4","0","0",""
"","Fredrick","","BRE","DEF","4","2.12","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Dender on loan for the rest of the season."
"","Wilson","","TOT","FWD","4.5","1.01","1","0.01","0","0","0","100","Available","0.0","0","0",""
"","Salmon","","ARS","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Vitor Reis","","MCI","DEF","5","3.29","1","0","0","0","0","0","Unavailable","0.0","0","0","Has joined Girona on loan for the rest of the season."
"","Kavuma-McQueen","","CHE","MID","4.5","1.31","1","0.12","0","0","0","100","Available","0.0","0","0",""
"","McAidoo","","MCI","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Carroll","","AVL","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Kone","","MUN","MID","4.3","1.31","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Lausanne-Sport on loan for the rest of the season."
"","Ridgeon","","FUL","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Arthur","","BRE","DEF","3.8","2.08","1","0","0","0","0","0","Unavailable","0.2","0","0","has joined Celtic on loan for the rest of the season."
"","Anselmino","","CHE","DEF","4","2.14","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Strasbourg on loan for the rest of the season."
"","Min-hyeok","","TOT","MID","4.5","1.33","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Coventry City on loan for the rest of the season."
"","Seung soo","","NEW","MID","4.3","1.26","1","0","0","0","0","100","Available","0.5","0","0",""
"","Nunes","","BRE","MID","4.9","2.21","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Swansea City on loan for the rest of the season."
"","Aleksić","","SUN","MID","4.9","2.29","1","0","0","0","0","100","Available","0.0","0","0",""
"","Gracey","","WOL","GK","4","2.93","1","0.19","0","0","0","100","Available","0.0","0","0",""
"","Konak","","BRE","MID","4.3","1.2","1","0","0","0","0","0","Unavailable","0.1","0","0","has joined Oxford United on loan for the rest of the season."
"","Graham","","EVE","FWD","4.5","1.01","1","0","0","0","0","100","Available","0.0","0","0",""
"","Casey","","CRY","FWD","4.5","1.01","1","0","0","0","0","100","Available","0.0","0","0",""
"","Antoñito C.","","NEW","MID","4.9","2.26","1","0","0","0","0","0","Unavailable","0.0","0","0","has joined Cadiz on loan for the rest of the season."
"","Benamar","","CRY","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Golambeckis","","WHU","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Lienou","","LEE","DEF","4","2.13","1","0.34","0","0","0","100","Available","0.0","0","0",""
"","McMahon-Brown","","BUR","MID","4.5","1.26","1","0.02","0","0","0","100","Available","0.0","0","0",""
"","Harriman-Annous","","ARS","MID","4.4","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Leoni","","LIV","DEF","4.9","3.1","1","0","0","0","0","0","Injured","0.0","0","0","Knee injury - Expected back 01 Sep"
"","Pimlott","","BUR","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Stephenson","","BRE","DEF","4","2.04","1","0.05","0","0","0","100","Available","0.0","0","0",""
"","Stevens","","BOU","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","D.Leon","","MUN","DEF","4.1","2.64","1","0","0","0","0","100","Available","0.1","0","0",""
"","Leon Routh","","AVL","DEF","4","2.02","1","0","0","0","0","100","Available","0.0","0","0",""
"","Alabi","","NEW","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Eboué","","CHE","MID","4.5","1.31","1","0.12","0","0","0","100","Available","0.0","0","0",""
"","Wright","","LIV","FWD","4.5","1.02","1","0.07","0","0","0","100","Available","0.0","0","0",""
"","DaCosta","","BOU","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Sillah","","NFO","FWD","4.5","1.04","1","","0","0","0","100","Available","0.0","0","0",""
"","Brierley","","BUR","MID","4.5","1.26","1","0","0","0","0","100","Available","0.0","0","0",""
"","Ndiaye","","LIV","DEF","4","2.11","1","0.1","0","0","0","100","Available","0.0","0","0",""
"0","PlayersSelected","forInfo","Totals forselectedplayers","0","Merit","Form","Prob. ofAppear-ing","0","Rest OfSeason","PointsSo Far","OfficialChance","OfficialAvailability","SelectedBy %","TransfersIn GW","TransfersOut GW","News"
